,Open,Max,Min,Close,Volume,Margin,Date
1508,236.0,239.5,235.9,238.05,789116.0,474.725,2021-01-25
1509,238.0,244.5,238.0,243.36,2470402.0,481.93,2021-01-26
1510,246.11,248.19,243.5,244.3,2987294.0,491.05000000000007,2021-01-27
1511,243.9,244.0,239.0,239.89,1260114.0,483.395,2021-01-28
1512,240.0,245.2,238.2,242.99,1845925.0,483.19500000000005,2021-01-29
1513,246.0,246.1,238.21,240.23,1107290.0,485.27000000000004,2021-02-01
1514,241.0,258.24,239.2,253.73,8596568.0,496.08500000000004,2021-02-02
1515,256.0,258.75,248.6,253.17,3344002.0,508.26,2021-02-03
1516,255.5,257.5,249.5,252.81,3836066.0,507.655,2021-02-04
1517,255.0,257.0,249.19,253.42,3929329.0,507.30499999999995,2021-02-08
1518,256.0,260.99,255.0,257.46,3822854.0,514.725,2021-02-09
1519,259.0,262.0,257.5,259.32,2525152.0,518.91,2021-02-10
1520,259.1,261.0,249.0,250.88,2088939.0,509.99,2021-02-11
1521,250.05,254.5,247.5,248.96,994354.0,500.505,2021-02-12
1522,251.0,254.8,249.8,251.96,1215684.0,503.78,2021-02-15
1523,250.89,257.45,250.89,252.56,2518279.0,505.895,2021-02-16
1524,258.0,261.5,255.11,257.4,3058074.0,516.005,2021-02-17
1525,254.01,254.01,245.19,246.75,2508964.0,499.98,2021-02-18
1526,247.98,250.0,243.19,245.2,604327.0,493.18499999999995,2021-02-19
1527,245.01,247.0,242.0,242.42,864719.0,488.215,2021-02-22
1528,244.0,244.17,239.0,239.58,545453.0,483.375,2021-02-23
1529,239.49,239.59,233.0,234.63,808383.0,473.355,2021-02-24
1530,237.1,239.0,236.75,238.13,362331.0,475.49,2021-02-25
1531,238.1,239.9,233.6,236.63,1472174.0,474.115,2021-02-26
1532,237.0,238.0,229.0,233.98,598982.0,468.99,2021-03-01
1533,235.0,244.25,235.0,240.39,1949369.0,477.32,2021-03-02
1534,242.98,244.5,240.01,241.7,444040.0,484.59499999999997,2021-03-03
1535,234.0,240.54,233.71,236.15,777305.0,472.2,2021-03-04
1536,237.0,242.0,235.02,238.83,524016.0,476.425,2021-03-05
1537,243.95,244.56,232.7,234.24,959937.0,477.725,2021-03-08
1538,235.47,236.0,224.85,226.31,590807.0,461.315,2021-03-09
1539,227.45,228.57,221.0,221.84,566874.0,449.42999999999995,2021-03-10
1540,220.25,224.47,215.0,217.47,1378091.0,438.595,2021-03-11
1541,215.0,223.75,212.47,221.28,812843.0,436.25,2021-03-12
1542,225.05,236.49,223.11,235.69,944838.0,460.17,2021-03-15
1543,236.0,236.0,230.2,232.23,482204.0,467.21500000000003,2021-03-16
1544,234.5,237.29,232.3,233.97,599715.0,469.03,2021-03-17
1545,233.96,234.59,225.0,226.94,434065.0,460.245,2021-03-18
1546,227.0,234.2,225.0,233.5,609876.0,459.85,2021-03-19
1547,234.5,244.73,230.0,242.32,2092507.0,475.775,2021-03-22
1548,239.51,247.13,237.2,242.9,899233.0,483.36999999999995,2021-03-24
1549,244.1,245.98,239.32,241.52,572057.0,485.46000000000004,2021-03-25
1550,240.99,240.99,236.0,236.71,427778.0,477.345,2021-03-26
1551,236.99,237.5,226.0,229.07,782778.0,464.78,2021-03-29
1552,227.95,232.49,226.1,227.84,448301.0,457.19,2021-03-30
1553,228.6,236.5,228.6,230.63,1945617.0,462.165,2021-03-31
1554,230.63,233.0,225.0,226.77,285398.0,457.7,2021-04-01
1555,229.99,230.5,225.01,226.36,240616.0,455.93,2021-04-02
1556,228.25,228.25,221.5,221.87,351202.0,449.935,2021-04-05
1557,222.0,228.4,221.73,227.01,657662.0,449.57,2021-04-06
1558,228.75,228.75,220.0,221.44,554292.0,449.47,2021-04-07
1559,221.99,226.98,221.45,225.73,338498.0,448.07500000000005,2021-04-08
1560,228.0,228.2,225.1,226.37,436947.0,453.83500000000004,2021-04-09
1561,225.13,226.37,220.99,221.26,376282.0,446.875,2021-04-12
1562,221.98,221.98,219.55,220.5,397890.0,442.005,2021-04-13
1563,220.98,223.0,220.17,222.33,314043.0,443.24,2021-04-14
1564,224.51,225.88,221.0,221.61,482849.0,446.5,2021-04-15
1565,221.55,223.8,220.25,220.91,148195.0,443.255,2021-04-16
1566,218.01,220.6,216.52,217.67,382648.0,436.4,2021-04-19
1567,220.49,220.99,216.55,217.31,450036.0,437.67,2021-04-20
1568,218.0,220.0,215.01,215.86,359967.0,434.435,2021-04-21
1569,214.56,221.06,214.3,215.09,862221.0,432.505,2021-04-22
1570,214.5,214.5,210.5,213.21,445386.0,426.355,2021-04-23
1571,210.5,229.2,208.01,223.51,1816013.0,435.61,2021-04-26
1572,221.51,222.01,214.05,215.37,732651.0,436.47,2021-04-27
1573,216.5,222.5,214.15,215.25,815961.0,434.2,2021-04-28
1574,214.9,223.4,214.9,216.46,1194360.0,434.83,2021-04-29
1575,217.02,218.0,211.15,212.24,464658.0,429.205,2021-04-30
1576,212.9,214.9,211.0,213.15,546282.0,425.97499999999997,2021-05-03
1577,213.0,215.85,213.0,214.36,275784.0,428.105,2021-05-04
1578,220.0,224.0,217.5,221.18,1190131.0,441.34000000000003,2021-05-05
1579,224.0,225.0,220.5,221.69,846694.0,445.595,2021-05-06
1580,223.5,224.8,219.81,220.79,1028596.0,444.44999999999993,2021-05-17
1581,221.89,233.01,219.99,231.0,3726803.0,452.945,2021-05-18
1582,232.8,232.8,226.0,226.46,1068975.0,459.03,2021-05-19
1583,226.51,227.98,225.0,225.36,408768.0,452.425,2021-05-20
1584,225.1,230.3,224.99,229.34,765532.0,454.865,2021-05-21
1585,229.34,230.8,226.15,226.92,286900.0,456.605,2021-05-24
1586,227.45,228.49,224.45,225.21,1031078.0,452.79999999999995,2021-05-25
1587,226.5,230.0,225.1,228.65,2375909.0,455.125,2021-05-26
1588,230.61,233.01,225.5,227.21,1922386.0,458.165,2021-05-27
1589,227.0,232.99,226.93,231.69,3146827.0,459.305,2021-05-28
1590,234.0,241.0,233.5,240.11,3896698.0,474.305,2021-05-31
1591,242.0,242.49,236.8,238.09,1614510.0,479.69000000000005,2021-06-01
1592,239.0,241.88,236.0,240.7,2581553.0,478.79,2021-06-02
1593,245.0,246.9,242.27,243.17,4500280.0,488.66999999999996,2021-06-03
1594,244.48,245.5,242.05,243.04,2438321.0,487.53499999999997,2021-06-04
1595,248.0,248.74,239.51,240.64,2819175.0,488.445,2021-06-07
1596,239.1,240.5,234.11,235.76,1648975.0,474.735,2021-06-08
1597,236.75,237.5,231.25,232.03,1261588.0,468.765,2021-06-09
1598,232.79,237.1,231.81,235.18,1099462.0,468.44,2021-06-10
1599,236.0,238.87,232.25,232.79,1080036.0,469.955,2021-06-11
1600,237.75,237.79,232.32,234.27,1640245.0,471.06499999999994,2021-06-14
1601,235.0,240.7,234.0,236.52,2379998.0,473.11,2021-06-15
1602,238.0,239.5,234.0,234.88,1811010.0,473.19,2021-06-16
1603,234.0,235.85,232.2,232.66,636617.0,467.35499999999996,2021-06-17
1604,232.66,234.4,231.0,233.49,1779605.0,465.775,2021-06-18
1605,232.99,233.5,228.0,229.11,660225.0,461.8,2021-06-21
1606,229.5,231.45,227.25,228.07,1035031.0,458.135,2021-06-22
1607,228.1,229.48,225.0,225.86,1232807.0,454.22,2021-06-23
1608,225.99,228.99,225.6,227.35,530214.0,453.96500000000003,2021-06-24
1609,228.99,229.1,223.52,224.4,1098470.0,453.005,2021-06-25
1610,224.4,224.8,220.0,220.68,4588746.0,444.94000000000005,2021-06-28
1611,221.1,225.2,220.98,221.82,818098.0,444.54999999999995,2021-06-29
1612,223.2,225.88,220.81,224.25,1048507.0,447.07,2021-06-30
1613,224.25,227.3,224.24,225.41,706794.0,450.6,2021-07-01
1614,226.39,227.0,223.7,224.14,476989.0,450.615,2021-07-02
1615,223.5,225.9,222.5,223.16,3538422.0,447.53,2021-07-05
1616,223.3,228.5,223.15,226.14,1345807.0,450.545,2021-07-06
1617,227.0,227.0,224.0,225.84,675890.0,451.92,2021-07-07
1618,226.99,230.75,226.5,230.07,1647015.0,457.155,2021-07-08
1619,230.2,231.69,226.0,227.96,807934.0,457.92499999999995,2021-07-09
1620,227.99,229.0,226.0,226.18,285749.0,454.58500000000004,2021-07-12
1621,226.4,226.69,224.25,224.89,257872.0,451.115,2021-07-13
1622,225.05,227.1,225.01,226.73,402559.0,451.945,2021-07-14
1623,226.06,231.0,226.06,229.4,1206603.0,456.26,2021-07-15
1624,229.0,230.79,228.0,228.11,527768.0,457.95,2021-07-16
1625,228.9,229.0,225.75,227.19,383606.0,455.42,2021-07-19
1626,227.0,227.99,224.9,225.22,328892.0,452.555,2021-07-23
1627,226.0,227.24,224.5,225.61,551459.0,451.675,2021-07-26
1628,226.0,226.0,211.11,220.19,710689.0,441.65,2021-07-27
1629,223.0,223.4,218.1,219.59,525890.0,442.045,2021-07-28
1630,219.98,222.98,216.0,220.09,597756.0,439.525,2021-07-29
1631,220.49,225.0,216.51,220.84,611132.0,441.42,2021-07-30
1632,219.99,222.75,218.5,221.35,621948.0,441.295,2021-08-02
1633,221.25,224.85,221.25,224.22,755664.0,445.785,2021-08-03
1634,224.9,226.0,222.5,223.14,454804.0,448.27,2021-08-04
1635,223.49,223.75,221.41,221.75,117881.0,445.2,2021-08-05
1636,222.0,223.19,220.5,220.67,111174.0,443.17999999999995,2021-08-06
1637,221.0,221.9,218.5,219.08,402948.0,440.24,2021-08-09
1638,219.01,220.2,217.01,217.94,226856.0,437.08000000000004,2021-08-10
1639,218.07,221.0,217.25,218.6,741270.0,437.46,2021-08-11
1640,219.05,219.99,214.51,215.27,607670.0,434.41,2021-08-12
1641,215.89,215.89,214.0,214.32,489646.0,430.05,2021-08-13
1642,214.5,217.55,213.25,215.14,397206.0,430.22,2021-08-16
1643,215.26,221.0,215.26,219.68,508625.0,435.6,2021-08-17
1644,220.99,226.9,220.2,225.85,1150578.0,446.96999999999997,2021-08-20
1645,228.2,232.89,225.85,231.3,3228383.0,459.12,2021-08-23
1646,227.55,228.8,222.15,222.99,3432799.0,450.745,2021-08-24
1647,222.76,224.3,220.2,220.71,620371.0,443.985,2021-08-25
1648,221.01,221.75,217.56,217.86,500853.0,439.09000000000003,2021-08-26
1649,218.0,218.81,215.01,216.95,731273.0,434.385,2021-08-27
1650,216.5,219.99,216.0,217.87,746275.0,435.18,2021-08-30
1651,217.6,219.5,216.0,216.62,294496.0,434.86,2021-08-31
1652,217.51,218.68,217.35,218.08,342156.0,435.81000000000006,2021-09-01
